"Latitude (decimal degrees):	42.109";;;;;;;;;;;;
"Longitude (decimal degrees):	15.485";;;;;;;;;;;;
"Elevation (m):	74";;;;;;;;;;;;
"Radiation database:	PVGIS-SARAH2";;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Slope: 35 deg. (optimum);;;;;;;;potenza installata(W):;1000000;;varianza;0,070399451
Azimuth: -6 deg. (optimum);;;;;;;;media capacity factor;0,17684475;;;
"Nominal power of the PV system (c-Si) (kWp):	1000.0";;;;;;;;;;;;
"System losses (%):	14.0";;;;;;;;;;;;
time;P;G(i);H_sun;T2m;WS10m;Int;;capacity factor;;;;
20190101:0010;0;0;0;0;0;0;;0;;0,031274066;;
20190101:0110;0;0;0;0;0;0;;0;;0,031274066;;
20190101:0210;0;0;0;0;0;0;;0;;0,031274066;;
20190101:0310;0;0;0;0;0;0;;0;;0,031274066;;
20190101:0410;0;0;0;0;0;0;;0;;0,031274066;;
20190101:0510;0;0;0;0;0;0;;0;;0,031274066;;
20190101:0610;0;0;0;0;0;0;;0;;0,031274066;;
20190101:0710;217330;259,34;5,85;0;0;0;;0,21733;;0,001639055;;
20190101:0810;473220;551,27;13,83;0;0;0;;0,47322;;0,087838289;;
20190101:0910;616340;731,42;20;0;0;0;;0,61634;;0,193156075;;
20190101:1010;684880;824,28;23,82;0;0;0;;0,68488;;0,258099815;;
20190101:1110;705800;853,19;24,85;0;0;0;;0,7058;;0,279793657;;
20190101:1210;630570;750,92;22,96;0;0;0;;0,63057;;0,205866602;;
20190101:1310;354310;410,18;18,4;0;0;0;;0,35431;;0,031493915;;
20190101:1410;47670;69,1;11,64;0;0;0;;0,04767;;0,016686116;;
20190101:1510;4900;14,87;3,22;0;0;0;;0,0049;;0,029564997;;
20190101:1610;0;0;0;0;0;0;;0;;0,031274066;;
20190101:1710;0;0;0;0;0;0;;0;;0,031274066;;
20190101:1810;0;0;0;0;0;0;;0;;0,031274066;;
20190101:1910;0;0;0;0;0;0;;0;;0,031274066;;
20190101:2010;0;0;0;0;0;0;;0;;0,031274066;;
20190101:2110;0;0;0;0;0;0;;0;;0,031274066;;
20190101:2210;0;0;0;0;0;0;;0;;0,031274066;;
20190101:2310;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0010;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0110;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0210;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0310;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0410;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0510;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0610;0;0;0;0;0;0;;0;;0,031274066;;
20190102:0710;99850;128,14;5,85;0;0;0;;0,09985;;0,005928192;;
20190102:0810;84550;110,37;13,85;0;0;0;;0,08455;;0,008518321;;
20190102:0910;70000;94,58;20,04;0;0;0;;0,07;;0,011415801;;
20190102:1010;78230;103,85;23,88;0;0;0;;0,07823;;0,009724869;;
20190102:1110;26220;43,58;24,94;0;0;0;;0,02622;;0,022687815;;
20190102:1210;33860;52,85;23,07;0;0;0;;0,03386;;0,020444639;;
20190102:1310;24720;41,73;18,52;0;0;0;;0,02472;;0,02314194;;
20190102:1410;12710;26,24;11,77;0;0;0;;0,01271;;0,026940216;;
